0.574627306,0.5811258889,0.08101851851851852,0,171,255,140,"3799;KIF5B;DOID:0050615,DOID:1324,DOID:0014667,DOID:9351,DOID:0060158,DOID:0050686,DOID:1837,DOID:4194,DOID:3905,DOID:9352,DOID:162,DOID:4,DOID:0050013,DOID:14566,DOID:3908"
0.5905336674,0.5611139148,0.07638888888888888,64,64,64,80,"3798;KIF5A;DOID:65,DOID:7,DOID:7148,DOID:2476,DOID:0110763,DOID:0080001,DOID:863,DOID:3342,DOID:4,DOID:17,DOID:607,DOID:848,DOID:331"
0.7490007102,0.8181948121,0.0,0,171,255,140,131405;TRIM71;N
0.5784795461,0.6109513607,0.0,64,64,64,80,283643;C14orf80;N
0.6178987392,0.4667860428,0.2222222222222222,64,64,64,80,"2932;GSK3B;DOID:1561,DOID:4873,DOID:11870,DOID:0110039,DOID:9455,DOID:0110047,DOID:0014667,DOID:1289,DOID:5854,DOID:3312,DOID:10286,DOID:0110043,DOID:4,DOID:10825,DOID:12139,DOID:423,DOID:1596,DOID:1443,DOID:707,DOID:225,DOID:0110048,DOID:0050686,DOID:5844,DOID:3393,DOID:0080000,DOID:14503,DOID:178,DOID:680,DOID:1287,DOID:17,DOID:1470,DOID:2030,DOID:14566,DOID:5419,DOID:9408,DOID:331,DOID:0110046,DOID:3211,DOID:0050828,DOID:7,DOID:2531,DOID:3324,DOID:66,DOID:0110041,DOID:12377,DOID:0060073,DOID:4964,DOID:10652,DOID:114,DOID:863,DOID:2468,DOID:10763,DOID:0110729,DOID:0110035,DOID:0110037,DOID:0110038,DOID:193,DOID:1595,DOID:0110045,DOID:10283,DOID:6000,DOID:767,DOID:655,DOID:0060058,DOID:150,DOID:2848,DOID:14525,DOID:0060083,DOID:936,DOID:11847,DOID:162,DOID:0110044,DOID:3856,DOID:8675,DOID:231,DOID:0060060"
0.5899676428,0.4720945132,0.07870370370370369,64,64,64,80,"2931;GSK3A;DOID:1596,DOID:1561,DOID:3324,DOID:4964,DOID:150,DOID:2848,DOID:3312,DOID:2468,DOID:4,DOID:1470,DOID:2030,DOID:5419,DOID:12139,DOID:1595"
0.2701815304,0.6138718255,0.0,64,64,64,80,84270;CARD19;N
0.6375172879,0.5322275846,0.0,64,64,64,80,84129;ACAD11;N
0.6497710162,0.3131849716,0.0,64,64,64,80,26586;CKAP2;N
0.5477123947,0.4089278087,0.16666666666666666,64,64,64,80,"9657;IQCB1;DOID:4674,DOID:1100,DOID:8466,DOID:5691,DOID:8501,DOID:2277,DOID:574,DOID:4,DOID:9650,DOID:0050177,DOID:10787,DOID:870,DOID:10825,DOID:14791,DOID:28,DOID:11832,DOID:1279,DOID:110,DOID:11771,DOID:630,DOID:178,DOID:1826,DOID:1287,DOID:229,DOID:13174,DOID:10124,DOID:10126,DOID:1432,DOID:331,DOID:1923,DOID:0050737,DOID:0050828,DOID:7,DOID:15,DOID:10584,DOID:1393,DOID:0050739,DOID:1414,DOID:5656,DOID:1492,DOID:10763,DOID:863,DOID:11105,DOID:12712,DOID:5679,DOID:5614,DOID:0050155,DOID:936,DOID:9649,DOID:0050576,DOID:83,DOID:0050572"
0.5603953508,0.4966799323,0.0,64,64,64,80,7514;XPO1;N
0.5680155198,0.2263934347,0.0,64,64,64,80,23557;SNAPIN;N
0.6396804641,0.2576389358,0.11342592592592592,64,64,64,80,"84062;DTNBP1;DOID:1574,DOID:1561,DOID:1742,DOID:3312,DOID:4,DOID:0050177,DOID:12139,DOID:1596,DOID:0060539,DOID:630,DOID:3753,DOID:9973,DOID:1470,DOID:2030,DOID:5419,DOID:0050737,DOID:302,DOID:3324,DOID:1203,DOID:0050739,DOID:4964,DOID:303,DOID:2468,DOID:1595,DOID:8646,DOID:0060545,DOID:150,DOID:2848,DOID:0050741"
0.3577706728,0.5107034963,0.12962962962962962,64,64,64,80,"1559;CYP2C9;DOID:1561,DOID:3620,DOID:574,DOID:0060036,DOID:4,DOID:2744,DOID:0050700,DOID:1596,DOID:397,DOID:557,DOID:12932,DOID:0050686,DOID:1063,DOID:74,DOID:11400,DOID:1470,DOID:1287,DOID:11465,DOID:2030,DOID:14566,DOID:11984,DOID:331,DOID:10952,DOID:7,DOID:3324,DOID:4964,DOID:114,DOID:863,DOID:3093,DOID:1595,DOID:11504,DOID:150,DOID:2848,DOID:18,DOID:162,DOID:1319"
