locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
YBR036C,CSG2,1,350,NE,Nonessential
YBR037C,SCO1,1,350,NE,Nonessential
YBR038W,CHS2,1,350,E,Essential
YBR039W,ATP3,1,350,NE,Nonessential
YBR040W,FIG1,1,350,NE,Nonessential
YBR041W,FAT1,1,350,NE,Nonessential
YBR042C,CST26,1,350,NE,Nonessential
YBR043C,QDR3,1,350,NE,Nonessential
YBR044C,TCM62,1,350,NE,Nonessential
YBR045C,GIP1,1,350,NE,Nonessential
YBR046C,ZTA1,1,350,NE,Nonessential
YBR047W,FMP23,1,350,NE,Nonessential
YBR048W,RPS11B,1,350,NE,Nonessential
YBR049C,REB1,1,350,E,Essential
YBR050C,REG2,1,350,NE,Nonessential
YBR052C,RFS1,1,350,NE,Nonessential
YBR053C,YBR053C,1,350,NE,Nonessential
YBR054W,YRO2,1,350,NE,Nonessential
YBR055C,PRP6,1,350,E,Essential
YBR056W,YBR056W,1,350,NE,Nonessential
YBR057C,MUM2,1,350,NE,Nonessential
YBR058C,UBP14,1,350,NE,Nonessential
YBR058C-A,TSC3,1,350,NE,Nonessential
YBR059C,AKL1,1,350,NE,Nonessential
YBR060C,ORC2,1,350,E,Essential
YBR061C,TRM7,1,350,NE,Nonessential
YBR062C,YBR062C,1,350,NE,Nonessential
YBR063C,YBR063C,1,350,NE,Nonessential
YBR065C,ECM2,1,350,NE,Nonessential
YBR066C,NRG2,1,350,NE,Nonessential
YBR067C,TIP1,1,350,NE,Nonessential
YBR068C,BAP2,1,350,NE,Nonessential
YBR069C,TAT1,1,350,NE,Nonessential
YBR070C,ALG14,1,350,E,Essential
YBR071W,YBR071W,1,350,NE,Nonessential
YBR072C-A,YBR072C-A,1,350,NE,Nonessential
YBR072W,HSP26,1,350,NE,Nonessential
YBR073W,RDH54,1,350,NE,Nonessential
YBR074W,YBR074W,1,350,NE,Nonessential
YBR076W,ECM8,1,350,NE,Nonessential
YBR077C,SLM4,1,350,NE,Nonessential
YBR078W,ECM33,1,350,NE,Nonessential
YBR079C,RPG1,1,350,E,Essential
YBR080C,SEC18,1,350,E,Essential
YBR081C,SPT7,1,350,NE,Nonessential
YBR082C,UBC4,1,350,NE,Nonessential
YBR083W,TEC1,1,350,NE,Nonessential
YBR084C-A,RPL19A,1,350,NE,Nonessential
YBR084W,MIS1,1,350,NE,Nonessential
YBR085C-A,YBR085C-A,1,350,NE,Nonessential
YBR085W,AAC3,1,350,NE,Nonessential
YBR086C,IST2,1,350,NE,Nonessential
YBR087W,RFC5,1,350,E,Essential
YBR088C,POL30,1,350,E,Essential
YBR090C,YBR090C,1,350,NE,Nonessential
YBR091C,TIM12,1,350,E,Essential
YBR092C,PHO3,1,350,NE,Nonessential
YBR093C,PHO5,1,350,NE,Nonessential
YBR094W,PBY1,1,350,NE,Nonessential
YBR095C,RXT2,1,350,NE,Nonessential
YBR096W,YBR096W,1,350,NE,Nonessential
YBR097W,VPS15,1,350,NE,Nonessential
YBR098W,MMS4,1,350,NE,Nonessential
YBR101C,FES1,1,350,NE,Nonessential
YBR102C,EXO84,1,350,E,Essential
YBR103W,SIF2,1,350,NE,Nonessential
YBR104W,YMC2,1,350,NE,Nonessential
YBR105C,VID24,1,350,NE,Nonessential
YBR106W,PHO88,2,"350,458","NE,E",Conditional
YBR107C,IML3,1,350,NE,Nonessential
YBR108W,AIM3,1,350,NE,Nonessential
YBR109C,CMD1,1,350,E,Essential
YBR110W,ALG1,1,350,E,Essential
YBR111C,YSA1,1,350,NE,Nonessential
YBR111W-A,SUS1,1,350,NE,Nonessential
YBR112C,CYC8,2,"350,458","NE,E",Conditional
YBR114W,RAD16,1,350,NE,Nonessential
YBR115C,LYS2,1,350,NE,Nonessential
YBR117C,TKL2,1,350,NE,Nonessential
YBR118W,TEF2,1,350,NE,Nonessential
YBR119W,MUD1,1,350,NE,Nonessential
YBR120C,CBP6,1,350,NE,Nonessential
YBR121C,GRS1,1,350,NE,Nonessential
YBR122C,MRPL36,1,350,NE,Nonessential
YBR123C,TFC1,1,350,E,Essential
YBR125C,PTC4,1,350,NE,Nonessential
YBR126C,TPS1,1,350,NE,Nonessential
YBR127C,VMA2,1,350,NE,Nonessential
YBR128C,ATG14,1,350,NE,Nonessential
YBR129C,OPY1,1,350,NE,Nonessential
YBR130C,SHE3,1,350,NE,Nonessential
YBR131W,CCZ1,1,350,NE,Nonessential
YBR132C,AGP2,1,350,NE,Nonessential
YBR133C,HSL7,1,350,NE,Nonessential
YBR135W,CKS1,1,350,E,Essential
YBR136W,MEC1,1,350,E,Essential
YBR137W,YBR137W,1,350,NE,Nonessential
YBR138C,YBR138C,1,350,NE,Nonessential
YBR139W,YBR139W,1,350,NE,Nonessential
YBR140C,IRA1,1,350,E,Essential
YBR141C,YBR141C,1,350,NE,Nonessential
YBR142W,MAK5,1,350,E,Essential
YBR143C,SUP45,1,350,E,Essential
YBR145W,ADH5,1,350,NE,Nonessential
YBR146W,MRPS9,1,350,NE,Nonessential
YBR147W,RTC2,1,350,NE,Nonessential
YBR148W,YSW1,1,350,NE,Nonessential
YBR149W,ARA1,1,350,NE,Nonessential
YBR150C,TBS1,1,350,NE,Nonessential
YBR151W,APD1,1,350,NE,Nonessential
YBR152W,SPP381,1,350,E,Essential
YBR153W,RIB7,1,350,E,Essential
YBR154C,RPB5,1,350,E,Essential
YBR155W,CNS1,1,350,E,Essential
YBR156C,SLI15,1,350,NE,Nonessential
YBR157C,ICS2,1,350,NE,Nonessential
YBR158W,AMN1,1,350,NE,Nonessential
YBR159W,IFA38,1,350,NE,Nonessential
YBR160W,CDC28,1,350,E,Essential
YBR161W,CSH1,1,350,NE,Nonessential
YBR162C,TOS1,1,350,NE,Nonessential
YBR162W-A,YSY6,1,350,NE,Nonessential
YBR163W,EXO5,1,350,NE,Nonessential
YBR164C,ARL1,1,350,NE,Nonessential
YBR165W,UBS1,1,350,NE,Nonessential
YBR166C,TYR1,1,350,NE,Nonessential
YBR167C,POP7,1,350,E,Essential
YBR168W,PEX32,1,350,NE,Nonessential
YBR169C,SSE2,1,350,NE,Nonessential
YBR170C,NPL4,1,350,NE,Nonessential
YBR171W,SEC66,1,350,NE,Nonessential
YBR172C,SMY2,1,350,NE,Nonessential
YBR173C,UMP1,1,350,NE,Nonessential
YBR175W,SWD3,1,350,NE,Nonessential
YBR176W,ECM31,1,350,NE,Nonessential
YBR177C,EHT1,1,350,NE,Nonessential
YBR179C,FZO1,1,350,NE,Nonessential
YBR180W,DTR1,1,350,NE,Nonessential
YBR181C,RPS6B,1,350,NE,Nonessential
YBR182C,SMP1,1,350,NE,Nonessential
YBR182C-A,YBR182C-A,1,350,NE,Nonessential
YBR183W,YPC1,1,350,NE,Nonessential
YBR184W,YBR184W,1,350,NE,Nonessential
YBR185C,MBA1,1,350,NE,Nonessential
YBR186W,PCH2,1,350,NE,Nonessential
YBR187W,GDT1,1,350,NE,Nonessential
YBR188C,NTC20,1,350,NE,Nonessential
YBR189W,RPS9B,1,350,NE,Nonessential
YBR191W,RPL21A,1,350,NE,Nonessential
YBR192W,RIM2,1,350,E,Essential
YBR193C,MED8,1,350,E,Essential
YBR194W,AIM4,1,350,NE,Nonessential
YBR195C,MSI1,1,350,NE,Nonessential
YBR196C,PGI1,1,350,E,Essential
YBR196C-A,YBR196C-A,1,350,NE,Nonessential
YBR196C-B,YBR196C-B,1,350,NE,Nonessential
YBR197C,YBR197C,1,350,NE,Nonessential
YBR198C,TAF5,1,350,E,Essential
YBR199W,KTR4,1,350,NE,Nonessential
YBR200W,BEM1,2,"458,350","E,NE",Conditional
YBR200W-A,YBR200W-A,1,350,NE,Nonessential
YBR201W,DER1,1,350,NE,Nonessential
YBR202W,MCM7,1,350,E,Essential
YBR203W,COS111,1,350,NE,Nonessential
YBR204C,YBR204C,1,350,NE,Nonessential
YBR205W,KTR3,1,350,NE,Nonessential
YBR207W,FTH1,1,350,NE,Nonessential
YBR208C,DUR1,1,350,NE,Nonessential
YBR210W,ERV15,1,350,NE,Nonessential
YBR211C,AME1,1,350,E,Essential
YBR212W,NGR1,1,350,NE,Nonessential
YBR213W,MET8,1,350,NE,Nonessential
YBR214W,SDS24,1,350,NE,Nonessential
YBR215W,HPC2,1,350,NE,Nonessential
YBR216C,YBP1,1,350,NE,Nonessential
YBR217W,ATG12,1,350,NE,Nonessential
YBR218C,PYC2,1,350,NE,Nonessential
YBR219C,YBR219C,1,350,NE,Nonessential
YBR220C,YBR220C,1,350,NE,Nonessential
YBR221C,PDB1,1,350,NE,Nonessential
YBR221W-A,YBR221W-A,1,350,NE,Nonessential
YBR222C,PCS60,1,350,NE,Nonessential
YBR223C,TDP1,1,350,NE,Nonessential
YBR225W,YBR225W,1,350,NE,Nonessential
YBR227C,MCX1,1,350,NE,Nonessential
YBR228W,SLX1,1,350,NE,Nonessential
YBR229C,ROT2,1,350,NE,Nonessential
YBR230C,OM14,1,350,NE,Nonessential
YBR230W-A,YBR230W-A,1,350,NE,Nonessential
YBR231C,SWC5,1,350,NE,Nonessential
YBR233W,PBP2,1,350,NE,Nonessential
YBR233W-A,DAD3,1,350,E,Essential
YBR234C,ARC40,1,350,E,Essential
YBR235W,YBR235W,1,350,NE,Nonessential
YBR236C,ABD1,1,350,E,Essential
YBR237W,PRP5,1,350,E,Essential
YBR238C,YBR238C,1,350,NE,Nonessential
YBR239C,ERT1,1,350,NE,Nonessential
YBR240C,THI2,1,350,NE,Nonessential
YBR241C,YBR241C,1,350,NE,Nonessential
YBR242W,YBR242W,1,350,NE,Nonessential
YBR243C,ALG7,1,350,E,Essential
YBR244W,GPX2,1,350,NE,Nonessential
YBR245C,ISW1,1,350,NE,Nonessential
YBR246W,RRT2,1,350,NE,Nonessential
YBR247C,ENP1,1,350,E,Essential
YBR248C,HIS7,1,350,NE,Nonessential
YBR249C,ARO4,1,350,NE,Nonessential
YBR250W,SPO23,1,350,NE,Nonessential
YBR251W,MRPS5,1,350,NE,Nonessential
YBR252W,DUT1,1,350,E,Essential
YBR253W,SRB6,1,350,E,Essential
YBR254C,TRS20,1,350,E,Essential
YBR255W,MTC4,1,350,NE,Nonessential
YBR256C,RIB5,1,350,E,Essential
YBR257W,POP4,1,350,E,Essential
YBR258C,SHG1,1,350,NE,Nonessential
YBR259W,YBR259W,1,350,NE,Nonessential
YBR260C,RGD1,1,350,NE,Nonessential
YBR261C,TAE1,1,350,NE,Nonessential
YBR262C,AIM5,1,350,NE,Nonessential
YBR263W,SHM1,1,350,NE,Nonessential
YBR264C,YPT10,1,350,NE,Nonessential
YBR265W,TSC10,1,350,E,Essential
YBR267W,REI1,1,350,NE,Nonessential
YBR268W,MRPL37,1,350,NE,Nonessential
YBR269C,FMP21,1,350,NE,Nonessential
YBR270C,BIT2,1,350,NE,Nonessential
YBR271W,YBR271W,1,350,NE,Nonessential
YBR272C,HSM3,1,350,NE,Nonessential
YBR273C,UBX7,1,350,NE,Nonessential
YBR274W,CHK1,1,350,NE,Nonessential
YBR275C,RIF1,1,350,NE,Nonessential
YBR276C,PPS1,1,350,NE,Nonessential
YBR278W,DPB3,1,350,NE,Nonessential
YBR279W,PAF1,1,350,NE,Nonessential
YBR280C,SAF1,1,350,NE,Nonessential
YBR281C,DUG2,1,350,NE,Nonessential
YBR282W,MRPL27,1,350,NE,Nonessential
YBR283C,SSH1,1,350,NE,Nonessential
YBR284W,YBR284W,1,350,NE,Nonessential
YBR285W,YBR285W,1,350,NE,Nonessential
YBR286W,APE3,1,350,NE,Nonessential
YBR287W,YBR287W,1,350,NE,Nonessential
YBR288C,APM3,1,350,NE,Nonessential
YBR289W,SNF5,1,350,NE,Nonessential
YBR290W,BSD2,1,350,NE,Nonessential
YBR291C,CTP1,1,350,NE,Nonessential
YBR293W,VBA2,1,350,NE,Nonessential
YBR294W,SUL1,1,350,NE,Nonessential
YBR295W,PCA1,1,350,NE,Nonessential
YBR296C,PHO89,1,350,NE,Nonessential
YBR296C-A,YBR296C-A,1,350,NE,Nonessential
YBR297W,MAL33,1,350,NE,Nonessential
YBR298C,MAL31,1,350,NE,Nonessential
YBR299W,MAL32,1,350,NE,Nonessential
YBR301W,PAU24,1,350,NE,Nonessential
YCL001W,RER1,1,350,NE,Nonessential
YCL001W-A,YCL001W-A,1,350,NE,Nonessential
YCL001W-B,YCL001W-B,1,350,NE,Nonessential
YCL002C,YCL002C,1,350,NE,Nonessential
YCL004W,PGS1,1,350,E,Essential
YCL005W,LDB16,1,350,NE,Nonessential
YCL005W-A,VMA9,1,350,NE,Nonessential
YCL008C,STP22,1,350,NE,Nonessential
YCL009C,ILV6,1,350,NE,Nonessential
YCL010C,SGF29,1,350,NE,Nonessential
YCL011C,GBP2,1,350,NE,Nonessential
